Question,Type,Lookup,Function,Can be duplicated,Stand,Chapitre,Subchapitre,Paragraphe
Etat des bacs gastronormes ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les ustensiles de service,,
Propreté des bacs gastronormes ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les ustensiles de service,,
Adéquation des ustensiles de service à la prestation servie,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les ustensiles de service,,
Etat des hottes ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Propreté des hottes ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Etat des stands ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Propreté des stands ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Etat des vitrines ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Propreté des vitrines ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Etat des îlots ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Propreté des îlots ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Etat des vitres ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Propreté des vitres,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Le matériel,,
Réactivité pour réduire les temps d'attente,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Maîtrise des flux,,
Respect des horaires de service ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Respect des horaires de service,,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de la coiffe règlementaire, port de bijoux, etc.)",3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Les tenues de travail
Uniformité des tenues,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Les tenues de travail
Etat des tenues,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Les tenues de travail
Propreté des tenues,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Les tenues de travail
Le sourire,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,L'accueil
L'amabilité,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,L'accueil
La politesse,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,L'accueil
La gestuelle,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Le professionalisme
La réactivité,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Le professionalisme
La rapidité de service,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,Le professionalisme
L'information,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,La communication
Le conseil,3 choice Yes/No/Partial,No,No,No,Zone de distribution,,Le personnel,La communication
Température,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Environnement / décoration,,
Luminosité,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Environnement / décoration,,
Niveau sonore,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Environnement / décoration,,
Fluidité de déplacement pour les convives,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Environnement / décoration,,
Les tenues de travail,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de la coiffe règlementaire, port de bijoux, etc.)",3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
Adéquation tenue / fonction ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Les tenues de travail
"A son arrivée le convive est-il salué (""Bonjour"") ?",2 options - Oui ou Non,,,,Le Personnel,,Le Personnel,Accueil / échanges
Le personnel est-il poli et aimable ? ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Accueil / échanges
Le personnel est-il souriant ? ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Accueil / échanges
Le personnel est-il attentif ? ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Accueil / échanges
"Les échanges aves le personnel sont-ils clairs, efficaces et facilement compris ?",3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Accueil / échanges
"Le personnel souhaite t-il un ""bon appétit"" (ou toute autre formule équivalente) lors de la remise de la",3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Accueil / échanges
Les gestes des ervice ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Le professionalisme
La réactivité ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Le professionalisme
La rapidité de service ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Le professionalisme
L'autonomie ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,Le professionalisme
L'information ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,La communication
Le conseil ,3 choice Yes/No/Partial,No,No,No,Le Personnel,,Le Personnel,La communication
Disponibilité,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Etat,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Propreté,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Traces de calcaire sur les verres,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Netteté des verres,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les verres,,
Etat des murs,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Propreté des murs,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Etat des sols,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Propreté des sols,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Etat des plafonds,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Propreté des plafonds,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Les locaux,,
Réactivité pour réduire les temps d'attente,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Maîtrise des flux,,
Respect des horaires de service,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Respect des horaires de service,,
Température,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Environnement / décoration,,
Luminosité,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Environnement / décoration,,
Niveau sonore,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Environnement / décoration,,
Fluidité de déplacement pour les convives,3 choice Yes/No/Partial,No,No,No,"Zone de distribution (sans les plateaux, couverts, contenants, matériel, affichage et personnel)",Environnement / décoration,,
Ouverture d'un tableau permettant de renseigner le nom de tous les stands et de mesurer les éléments suivants :,Table,,,,,,,
Viandes bovines,2 options - OK ou NOK,,,,Les prestations chaudes,Les affichages obligatoires,,
"Pour les autres viandes (porcine, ovine et de volaille)",2 options - OK ou NOK,,,,Les prestations chaudes,Les affichages obligatoires,,
Présence d'un affichage,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Affichage,
Précision des informations,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Affichage,
Indication du prix,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les prestations chaudes,,Présentation,
Etat des ustensiles ,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Les ustensiles de service,
Propreté des ustensiles ,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Les ustensiles de service,
Etat des bacs gastronormes ,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Les ustensiles de service,
Propreté des bacs gastronormes ,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Les ustensiles de service,
Adéquation des ustensiles de service à la prestation servie,3 choice Yes/No/Partial,No,No,No,Les prestations chaudes,,Les ustensiles de service,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PRODUITS CONTRÔLES ET LEUR TEMPERATURE ASSOCIEE,Table,,,,,,,
Produit 1,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 2,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 3,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 4,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 5,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 6,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 7,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 8,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 9,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 10,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 11,Température,,,,Les prestations chaudes,Relevés des températures,,
Produit 12,Température,,,,Les prestations chaudes,Relevés des températures,,
Etat des hottes,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Propreté des hottes,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Etat des stands,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Propreté des stands,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Etat des pare-haleine,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Propreté des pare-haleine,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
"Etat des matériels de maintien en température (chafing-dish, bain-marie)",3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
"Propreté des matériel de maintien en température (chafing-dish, bain-marie)",3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Etat du la plancha,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Etat du la grill,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Etat du la friteuse,3 choice Yes/No/Partial,,,,Les prestations chaudes,Le matériel,,
Qualité du service,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Le service
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Le service
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Les tenues de travail
Uniformité des tenues,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Les tenues de travail
Etat des tenues,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Les tenues de travail
Propreté des tenues,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,Les tenues de travail
Le sourire,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,L'accueil
L'amabilité,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,L'accueil
La politesse,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,L'accueil
La gestuelle,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,L'accueil
L'information,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,La communication
Le conseil,3 choice Yes/No/Partial,,,,Les prestations chaudes,,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les hors d'œuvre,Les hors d'œuvre dressés,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PRODUITS CONTRÔLES ET LEUR TEMPERATURE ASSOCIEE,Table,,,,,,,
Produit 1,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 2,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 3,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 4,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 5,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 6,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 7,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 8,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 9,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 10,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 11,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Produit 12,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Vérification de la température de la vitrine,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Contrôle de l'affichage de la vitrine,Température,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Relevés des températures,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Etat des ramequins/raviers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Etat des petites assiettes,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Propreté des petites assiettes,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Etat des coupelles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Propreté des coupelles,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Etat des bols,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Propreté des bols,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les hors d'œuvre,Les hors d'œuvre dressés,Les contenants,
Etat des vitrines,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre dressés,Le matériel,
Présence d'un affichage,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,
Indication du prix,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PRODUITS CONTRÔLES ET LEUR TEMPERATURE ASSOCIEE,Table,,,,,,,
Produit 1,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 2,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 3,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 4,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 5,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 6,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 7,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 8,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 9,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 10,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 11,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Produit 12,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Vérification de la température de la vitrine,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,
Contrôle de l'affichage de la vitrine,Température,,,,Les hors d'œuvre,Les hors d'œuvre en libre-service,,
